,id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,clean_ingredients,ingredient_count,timeMins,imageURL
107,Broccoli-Salad-Jo-Cooks-46082,broccoli salad,5.0,2100.0,"[Lunch and Snacks, Salads, Side Dishes]",[American],"[broccoli, olive oil, rice vinegar, lemon juice, garlic, mustard, salt, pepper, chili flakes]","['broccoli', 'olive oil', 'rice vinegar', 'lemon juice', 'garlic', 'mustard', 'salt', 'pepper', 'chili flake']",9,35.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.DNH004jje3KwODF-bX9P2AHaLC%26pid%3DApi&f=1&ipt=92795717e924db8cabe50966162a70530215dc8f6dc72eea631d2e448cd8181a&ipo=images
108,Mediterranean-potato-_-green-bean-salad-297943,mediterranean potato & green bean salad,4.0,1800.0,"[Salads, Side Dishes]",[American],"[red potato, green beans, wish bone balsam vinaigrett dress, red bell pepper]","['potato', 'bean', 'wish bone balsam vinaigrett dres', 'bell pepper']",4,30.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.enpzRcQm5Z9RCE4tHd6V-wHaJQ%26pid%3DApi&f=1&ipt=d272c11ee99ff12366e8e928760b8f0987154e3ec366cbc9d8169db19db49c02&ipo=images
109,Royal-Icing-459757,royal icing,5.0,,[Desserts],[American],"[egg whites, confectioners sugar, cream of tartar, salt, fresh lemon juice]","['egg white', 'confectioner sugar', 'cream tartar', 'salt', 'lemon juice']",5,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.W96wmJFqbJjHgWmjteDCcwHaIS%26pid%3DApi&f=1&ipt=98473a587a9ab0ebfff03d55cf61e93f4f8d73cce6f5adaecb7f74864ee4dcec&ipo=images
110,Zucchini-tots-352258,zucchini tots,5.0,,,[American],"[zucchini, large eggs, onions, reduced fat sharp cheddar cheese, bread crumbs, pepper, salt, cooking spray]","['zucchini', 'egg', 'onion', 'dar cheese', 'bread crumb', 'pepper', 'salt', 'cooking spray']",8,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.QPTrP2khu38xgdu4r4zwTgHaLJ%26pid%3DApi&f=1&ipt=591dc43a50d6adc56fb091cf8d2d4f7055b2b8046dea7cddabaa05f8dc6e3b7d&ipo=images
111,Baked-vidalia-onion-dip-300019,baked vidalia onion dip,4.0,2100.0,[Appetizers],"[American, Southern & Soul Food]","[onions, grated parmesan cheese, hellmann' or best food real mayonnais, garlic, hot pepper sauce]","['onion', 'parmesan cheese', 'hellmann best food real mayonnai', 'garlic', 'hot pepper sauce']",5,35.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.9VvLT0u3r9-43-uv9lmHkAHaE8%26pid%3DApi&f=1&ipt=ebb1b084cff984e93a9ffafd7b4d63fc7804a28638fa6e50aba84f628e70da50&ipo=images
112,Crawfish-Cornbread-1344372,crawfish cornbread,4.0,5100.0,[Breads],[Southern & Soul Food],"[yellow corn meal, baking powder, salt, creole seasoning, eggs, vegetable oil, yellow onion, cheddar cheese, frozen corn, crawfish, jalapeno chilies]","['yellow corn meal', 'baking powder', 'salt', 'creole seasoning', 'egg', 'vegetable oil', 'yellow onion', 'dar cheese', 'corn', 'crawfish', 'jalapeno chily']",11,85.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.AvniJQDQyshkfXpfnXSwTAHaHa%26pid%3DApi&f=1&ipt=0ad63883ca4bd962788358a13750393d525ed3a5fce546d2cd18360b58ed94fa&ipo=images
113,Lemon-Curd-Tart-459436,lemon curd tart,5.0,,[Desserts],[American],"[rolls, eggs, sugar, fresh lemon juice, grated lemon zest, unsalted butter, cream sweeten whip]","['roll', 'egg', 'sugar', 'lemon juice', 'lemon zest', 'butter', 'cream sweeten whip']",7,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.SIkJYgVQzC8YXt4eWD1cbwHaF6%26pid%3DApi&f=1&ipt=667078755723fae00bad44942662e3af62c44e371112fc6e6f47e46ecb34a34b&ipo=images
114,Best-Ever-Pasta-Salad-Allrecipes,best ever pasta salad,4.0,2100.0,[Salads],[American],"[penne pasta, cucumber, plum tomatoes, mayonnaise, sour cream, dried dillweed, lemon pepper]","['penne pastum', 'cucumber', 'plum tomato', 'mayonnaise', 'smy cream', '', 'lemon pepper']",7,35.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.wz0uykctlP5AGMj0TYKWxAHaLG%26pid%3DApi&f=1&ipt=1688c866e90f9b9f13358eb5ffd150f096aa17d77e8500fd231086b38cb9c18a&ipo=images
115,Mashed-sweet-potatoes-brulee-352040,mashed sweet potatoes brulee,5.0,,[Side Dishes],[American],"[sweet potatoes, 1% low-fat milk, butter, salt, ground cinnamon, ground nutmeg, light brown sugar]","['sweet potato', 'low fat milk', 'butter', 'salt', 'cinnamon', 'nutmeg', 'light brown sugar']",7,,duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.P3um2X3ehY9ukOvls2N_9wHaLH%26pid%3DApi&f=1&ipt=bbc2bd596ddd8f8570ed8e87f8e02da7365cf60890a9f4483345f89725436b73&ipo=images
116,Dill-Sauce-Allrecipes,dill sauce,4.0,300.0,[Condiments and Sauces],[American],"[sour cream, dijon, lemon juice, fresh dill]","['smy cream', 'dijon', 'lemon juice', 'dill']",4,5.0,duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.5yzOEtcXl8IZ2SCsTW7qwgHaHa%26pid%3DApi&f=1&ipt=1274e2225a7b70ba198c7bd85305c299970facafe39af2e0dfd6a20c79ee6caf&ipo=images
